Ticker,Preço,Recomendação,RSI,MACD,Volume,Variação %
SEER3,5.08,BUY,55.319863820313124,0.13271857165055856,673400.0,-4.5112781954887256
FRIO3,293.0,BUY,52.894654236805714,6.369535065517198,100.0,4.642857142857143
USIM6,11.0,SELL,41.495120683759176,-1.1283018194481773,100.0,0.0
AMBP3,123.55,BUY,50.35756280687927,-1.1909358937353574,53000.0,1.220711125675893
OPCT3,5.16,STRONG_SELL,37.959855204752124,-0.0035496710639000284,536200.0,-6.181818181818179
FICT3,4.0,NEUTRAL,48.98024806422652,0.032303771807373316,29600.0,-1.2345679012345634
AURA33,31.82,SELL,43.40252036982895,1.4294608660229358,529532.0,-9.858356940509907
USIM3,5.44,STRONG_SELL,38.73757663801178,-0.01715771371992414,397100.0,-5.719237435008652
USIM5,5.38,STRONG_SELL,36.192547495944154,-0.032978602245192334,18888100.0,-6.597222222222221
PETZ3,4.06,SELL,40.58585092675596,-0.07656438308463542,8343300.0,-0.4901960784313838
ALPK3,2.88,SELL,44.18123349856714,0.03120875611945584,111300.0,-3.6789297658862985
DTCY3,3.9,STRONG_SELL,43.45859461063558,-0.15892071481296188,1300.0,0.0
JALL3,3.95,SELL,36.805577732690665,-0.06726183703262123,726600.0,-3.1862745098039187
CASH3,3.13,SELL,35.42834604339791,-0.06086281572136665,589600.0,-3.6923076923076956
RAIL3,17.12,SELL,46.34711602836953,-0.2712921231203431,12614500.0,-3.002832861189788
SCAR3,17.09,STRONG_SELL,41.06055785271934,-0.041144206534557526,83800.0,-1.213872832369947
DOHL3,6.3,SELL,46.041400238606506,-0.48860317921544816,200.0,6.7796610169491425
HAPV3,2.14,SELL,45.1484948511513,-0.010973111616468856,63272300.0,-4.888888888888884
MAPT4,4.0,SELL,33.745408560042264,-0.2798817392765107,700.0,0.0
SIMH3,4.34,BUY,55.792494840571095,0.24432542696858395,5818900.0,-9.394572025052197
MAPT3,3.65,SELL,37.64500608107814,-0.5940403840485216,500.0,-6.4102564102564115
ATED3,1.12,NEUTRAL,49.616650839026335,-0.0010157251935274392,3800.0,1.8181818181818195
DOHL4,3.94,STRONG_SELL,44.88551749753104,-0.01583798783369783,2300.0,-1.5000000000000013
TELB3,14.5,BUY,59.548032438557065,0.42941616889649836,1000.0,-2.2252191503708705
CBAV3,4.13,STRONG_SELL,31.638559407965985,-0.20301402524366985,11846700.0,-10.60606060606061
BIOM3,9.6,SELL,43.11734110587376,-0.033080619141129475,10200.0,-1.940755873340138
TELB4,8.52,SELL,41.6752993546093,0.008268462436344493,400.0,-2.6285714285714334
CVCB3,2.02,SELL,48.97496735614287,0.06831948213232142,15996100.0,-5.607476635514024
BRAV3,18.48,SELL,39.78803239506381,0.6102224368577964,27068800.0,-12.250712250712244
ENJU3,1.05,SELL,42.48297981912357,-0.052050110407424466,422000.0,-4.545454545454549
SUZB3,50.9,SELL,25.081986492560162,-1.3717412750094198,7033800.0,-0.3328764440963417
AALR3,7.36,SELL,27.077764926037602,-1.1913096147142905,26900.0,-1.8666666666666623
RAIZ4,1.75,STRONG_SELL,40.115310238334,0.005866644846061142,16727100.0,-4.891304347826091
ZAMP3,3.0,BUY,55.73361747207236,0.11053921500433983,1001300.0,-6.5420560747663545
GFSA3,1.98,BUY,61.08585147486367,0.25106916176919536,13089500.0,-2.9411764705882377
MRVE3,5.01,STRONG_SELL,46.35381377123951,0.004967919931111453,10461000.0,-5.113636363636372
ONCO3,5.25,NEUTRAL,52.39311432227047,0.33238550577091885,2130200.0,-3.6697247706422047
PTBL3,3.66,SELL,50.28025827332113,0.005736629749450106,330100.0,-7.575757575757572
CRPG3,21.15,STRONG_SELL,24.58157945828252,-5.304749119221444,1500.0,-20.218785364013588
NGRD3,19.02,STRONG_SELL,31.73269333276056,-0.4172855698518845,28000.0,-3.939393939393945
RCSL3,3.03,SELL,36.72644244142657,-0.13375889502509652,380400.0,-1.3029315960912065
AZTE3,0.97,STRONG_SELL,45.20637412376744,-0.02572630509518592,3379600.0,-3.960396039603964
MEAL3,1.25,BUY,61.171281629933354,0.07944832552297387,359600.0,-1.5748031496063006
CRPG5,18.4,SELL,38.81553594681715,-0.13622763965971174,600.0,-0.5942733657482603
CRPG6,18.51,SELL,31.70623431559818,-0.543318587164439,100.0,0.0540540540540625
AMOB3,0.25,SELL,43.337598804698324,-0.005734915949218322,10565800.0,-3.8461538461538494
CSNA3,8.2,STRONG_SELL,31.338249107327442,-0.011661737870173994,18593800.0,-6.923950056753703
RPAD5,5.72,SELL,38.71277435483811,-0.429658791760021,100.0,0.17513134851137982
MATD3,3.97,BUY,54.80861173037433,0.03923444916201779,127900.0,-0.5012531328320806
KRSA3,8.84,BUY,59.08247652030261,0.05446962631629759,30200.0,0.0
TRAD3,7.54,BUY,72.66037070800829,0.4425303023811873,26300.0,1.617250673854449
PDTC3,1.16,STRONG_SELL,38.28891803834114,-0.004668316957332275,71800.0,-4.132231404958682
FIEI3,9.0,SELL,45.70915051261248,-0.2582963175095845,100.0,0.11123470522802878
MLAS3,1.22,SELL,49.05546532586833,0.0125993074897508,1504000.0,-4.687500000000004
DMFN3,12.5,SELL,47.77505640082659,0.023794707347443378,100.0,-10.714285714285714
CEED4,20.0,STRONG_SELL,32.61147939029871,-7.392848826625698,100.0,-20.0
RPAD6,3.8,STRONG_SELL,28.456599111551014,-0.8247491723264933,5000.0,-5.000000000000004
RPAD3,4.0,SELL,35.46956806260165,-0.5661311236779127,1500.0,0.0
